op1,op2,n1,n2,n3,intermediate,answer,eq1,eqfull
-,//,2,4,8,-2,-1,(2-4),(2-4)//8=
+,+,5,6,1,11,12,(5+6),(5+6)+1=
*,*,4,6,7,24,168,(4*6),(4*6)*7=
//,-,2,8,7,0,-7,(2//8),(2//8)-7=
-,-,3,5,5,-2,-7,(3-5),(3-5)-5=
-,//,4,8,6,-4,-1,(4-8),(4-8)//6=
+,-,4,3,1,7,6,(4+3),(4+3)-1=
*,-,8,8,9,64,55,(8*8),(8*8)-9=
*,//,3,5,3,15,5,(3*5),(3*5)//3=
-,-,4,8,7,-4,-11,(4-8),(4-8)-7=
-,-,1,5,1,-4,-5,(1-5),(1-5)-1=
-,-,3,9,4,-6,-10,(3-9),(3-9)-4=
-,+,2,1,4,1,5,(2-1),(2-1)+4=
-,+,5,8,2,-3,-1,(5-8),(5-8)+2=
-,-,5,8,4,-3,-7,(5-8),(5-8)-4=
//,-,6,4,8,1,-7,(6//4),(6//4)-8=
+,*,9,9,5,18,90,(9+9),(9+9)*5=
*,-,2,8,2,16,14,(2*8),(2*8)-2=
-,+,9,4,4,5,9,(9-4),(9-4)+4=
-,//,6,6,5,0,0,(6-6),(6-6)//5=
//,*,4,7,6,0,0,(4//7),(4//7)*6=
*,//,6,2,4,12,3,(6*2),(6*2)//4=
//,-,9,1,6,9,3,(9//1),(9//1)-6=
+,//,7,9,4,16,4,(7+9),(7+9)//4=
//,//,6,7,5,0,0,(6//7),(6//7)//5=
+,-,3,4,8,7,-1,(3+4),(3+4)-8=
//,//,2,5,9,0,0,(2//5),(2//5)//9=
//,//,9,8,4,1,0,(9//8),(9//8)//4=
*,//,3,3,2,9,4,(3*3),(3*3)//2=
*,-,9,8,5,72,67,(9*8),(9*8)-5=
+,//,9,8,3,17,5,(9+8),(9+8)//3=
//,*,3,8,8,0,0,(3//8),(3//8)*8=
+,+,5,3,7,8,15,(5+3),(5+3)+7=
+,//,7,3,8,10,1,(7+3),(7+3)//8=
*,+,4,3,8,12,20,(4*3),(4*3)+8=
*,+,2,9,2,18,20,(2*9),(2*9)+2=
-,-,6,5,3,1,-2,(6-5),(6-5)-3=
//,*,1,5,6,0,0,(1//5),(1//5)*6=
*,//,8,7,9,56,6,(8*7),(8*7)//9=
//,*,4,5,3,0,0,(4//5),(4//5)*3=
*,-,2,3,5,6,1,(2*3),(2*3)-5=
*,//,2,5,1,10,10,(2*5),(2*5)//1=
-,-,4,8,3,-4,-7,(4-8),(4-8)-3=
*,//,8,3,9,24,2,(8*3),(8*3)//9=
*,+,3,4,7,12,19,(3*4),(3*4)+7=
//,*,8,1,9,8,72,(8//1),(8//1)*9=
//,-,7,9,8,0,-8,(7//9),(7//9)-8=
*,-,2,1,9,2,-7,(2*1),(2*1)-9=
-,-,4,9,8,-5,-13,(4-9),(4-9)-8=
//,//,5,5,1,1,1,(5//5),(5//5)//1=
*,*,9,7,3,63,189,(9*7),(9*7)*3=
//,*,4,2,6,2,12,(4//2),(4//2)*6=
*,//,7,7,5,49,9,(7*7),(7*7)//5=
//,*,5,8,8,0,0,(5//8),(5//8)*8=
+,*,5,1,5,6,30,(5+1),(5+1)*5=
-,-,5,2,7,3,-4,(5-2),(5-2)-7=
+,-,7,4,2,11,9,(7+4),(7+4)-2=
//,-,9,9,8,1,-7,(9//9),(9//9)-8=
-,-,3,7,2,-4,-6,(3-7),(3-7)-2=
*,-,2,1,8,2,-6,(2*1),(2*1)-8=
//,+,1,6,2,0,2,(1//6),(1//6)+2=
-,+,9,1,2,8,10,(9-1),(9-1)+2=
*,//,3,4,7,12,1,(3*4),(3*4)//7=
-,-,6,4,1,2,1,(6-4),(6-4)-1=
-,+,5,8,1,-3,-2,(5-8),(5-8)+1=
+,*,7,6,8,13,104,(7+6),(7+6)*8=
-,//,9,1,8,8,1,(9-1),(9-1)//8=
*,*,2,9,5,18,90,(2*9),(2*9)*5=
+,//,4,8,8,12,1,(4+8),(4+8)//8=
*,+,9,1,1,9,10,(9*1),(9*1)+1=
-,*,5,9,6,-4,-24,(5-9),(5-9)*6=
*,+,8,1,3,8,11,(8*1),(8*1)+3=
//,+,5,5,2,1,3,(5//5),(5//5)+2=
*,+,8,7,7,56,63,(8*7),(8*7)+7=
//,+,8,9,9,0,9,(8//9),(8//9)+9=
-,//,3,1,4,2,0,(3-1),(3-1)//4=
-,-,6,9,4,-3,-7,(6-9),(6-9)-4=
*,+,5,5,2,25,27,(5*5),(5*5)+2=
+,+,3,8,6,11,17,(3+8),(3+8)+6=
-,*,7,6,3,1,3,(7-6),(7-6)*3=
+,-,6,6,5,12,7,(6+6),(6+6)-5=
*,+,8,3,5,24,29,(8*3),(8*3)+5=
-,-,8,6,9,2,-7,(8-6),(8-6)-9=
*,+,3,2,9,6,15,(3*2),(3*2)+9=
*,*,9,7,1,63,63,(9*7),(9*7)*1=
+,-,9,2,6,11,5,(9+2),(9+2)-6=
//,//,9,3,3,3,1,(9//3),(9//3)//3=
+,-,4,8,6,12,6,(4+8),(4+8)-6=
*,//,7,8,6,56,9,(7*8),(7*8)//6=
*,//,6,8,3,48,16,(6*8),(6*8)//3=
//,-,6,2,9,3,-6,(6//2),(6//2)-9=
+,*,1,5,7,6,42,(1+5),(1+5)*7=
//,-,2,7,7,0,-7,(2//7),(2//7)-7=
+,-,8,7,5,15,10,(8+7),(8+7)-5=
-,-,8,9,8,-1,-9,(8-9),(8-9)-8=
-,-,6,2,2,4,2,(6-2),(6-2)-2=
//,+,2,2,3,1,4,(2//2),(2//2)+3=
-,+,4,6,3,-2,1,(4-6),(4-6)+3=
-,+,5,3,7,2,9,(5-3),(5-3)+7=
+,*,6,6,5,12,60,(6+6),(6+6)*5=
+,*,6,3,3,9,27,(6+3),(6+3)*3=
//,*,4,9,1,0,0,(4//9),(4//9)*1=
+,+,2,3,2,5,7,(2+3),(2+3)+2=
//,*,9,6,1,1,1,(9//6),(9//6)*1=
+,-,5,6,5,11,6,(5+6),(5+6)-5=
+,-,1,3,9,4,-5,(1+3),(1+3)-9=
-,+,5,5,2,0,2,(5-5),(5-5)+2=
+,//,1,4,3,5,1,(1+4),(1+4)//3=
//,*,6,9,2,0,0,(6//9),(6//9)*2=
*,-,1,4,8,4,-4,(1*4),(1*4)-8=
+,//,1,2,1,3,3,(1+2),(1+2)//1=
//,+,9,8,3,1,4,(9//8),(9//8)+3=
-,//,1,3,6,-2,-1,(1-3),(1-3)//6=
//,-,5,6,1,0,-1,(5//6),(5//6)-1=
-,-,6,4,8,2,-6,(6-4),(6-4)-8=
*,+,8,5,1,40,41,(8*5),(8*5)+1=
+,//,1,1,2,2,1,(1+1),(1+1)//2=
+,*,4,1,3,5,15,(4+1),(4+1)*3=
//,+,9,3,9,3,12,(9//3),(9//3)+9=
*,//,4,2,3,8,2,(4*2),(4*2)//3=
+,//,1,5,2,6,3,(1+5),(1+5)//2=
+,//,6,8,7,14,2,(6+8),(6+8)//7=
*,+,8,6,5,48,53,(8*6),(8*6)+5=
-,+,7,1,7,6,13,(7-1),(7-1)+7=
+,//,5,1,8,6,0,(5+1),(5+1)//8=
-,-,2,1,6,1,-5,(2-1),(2-1)-6=
-,*,9,5,2,4,8,(9-5),(9-5)*2=
*,//,7,1,1,7,7,(7*1),(7*1)//1=
+,*,4,1,7,5,35,(4+1),(4+1)*7=
-,//,8,9,5,-1,-1,(8-9),(8-9)//5=
-,//,6,4,3,2,0,(6-4),(6-4)//3=
-,-,4,4,6,0,-6,(4-4),(4-4)-6=
*,//,2,6,8,12,1,(2*6),(2*6)//8=
+,*,8,1,8,9,72,(8+1),(8+1)*8=
-,-,2,8,8,-6,-14,(2-8),(2-8)-8=
+,+,3,9,8,12,20,(3+9),(3+9)+8=
*,//,5,1,8,5,0,(5*1),(5*1)//8=
//,*,7,6,2,1,2,(7//6),(7//6)*2=
-,+,8,5,9,3,12,(8-5),(8-5)+9=
+,+,4,2,8,6,14,(4+2),(4+2)+8=
+,*,2,3,8,5,40,(2+3),(2+3)*8=
//,//,1,9,8,0,0,(1//9),(1//9)//8=
*,-,1,4,9,4,-5,(1*4),(1*4)-9=
+,+,9,6,2,15,17,(9+6),(9+6)+2=
//,+,1,4,6,0,6,(1//4),(1//4)+6=
+,*,3,9,2,12,24,(3+9),(3+9)*2=
+,//,1,4,9,5,0,(1+4),(1+4)//9=
*,//,7,6,8,42,5,(7*6),(7*6)//8=
+,-,4,9,3,13,10,(4+9),(4+9)-3=
+,-,3,7,9,10,1,(3+7),(3+7)-9=
+,+,7,4,1,11,12,(7+4),(7+4)+1=
//,//,2,5,7,0,0,(2//5),(2//5)//7=
+,-,4,7,6,11,5,(4+7),(4+7)-6=
//,+,8,3,8,2,10,(8//3),(8//3)+8=
-,-,3,6,5,-3,-8,(3-6),(3-6)-5=
//,//,1,8,1,0,0,(1//8),(1//8)//1=
*,+,8,9,6,72,78,(8*9),(8*9)+6=
//,-,7,7,3,1,-2,(7//7),(7//7)-3=
*,+,5,6,3,30,33,(5*6),(5*6)+3=
//,*,4,4,1,1,1,(4//4),(4//4)*1=
*,+,6,2,9,12,21,(6*2),(6*2)+9=
+,-,6,9,1,15,14,(6+9),(6+9)-1=
*,-,1,5,9,5,-4,(1*5),(1*5)-9=
*,*,4,9,8,36,288,(4*9),(4*9)*8=
//,//,4,7,2,0,0,(4//7),(4//7)//2=
-,+,1,7,3,-6,-3,(1-7),(1-7)+3=
*,*,3,1,1,3,3,(3*1),(3*1)*1=
+,//,4,8,7,12,1,(4+8),(4+8)//7=
-,+,1,6,3,-5,-2,(1-6),(1-6)+3=
//,+,9,7,3,1,4,(9//7),(9//7)+3=
-,-,4,9,2,-5,-7,(4-9),(4-9)-2=
//,//,2,1,8,2,0,(2//1),(2//1)//8=
*,+,2,5,6,10,16,(2*5),(2*5)+6=
+,//,5,6,5,11,2,(5+6),(5+6)//5=
-,//,5,3,1,2,2,(5-3),(5-3)//1=
//,-,3,1,8,3,-5,(3//1),(3//1)-8=
//,*,3,5,6,0,0,(3//5),(3//5)*6=
+,*,6,7,3,13,39,(6+7),(6+7)*3=
+,-,1,7,4,8,4,(1+7),(1+7)-4=
//,+,6,7,2,0,2,(6//7),(6//7)+2=
*,-,8,7,2,56,54,(8*7),(8*7)-2=
//,*,2,2,5,1,5,(2//2),(2//2)*5=
*,-,9,1,4,9,5,(9*1),(9*1)-4=
*,+,2,3,9,6,15,(2*3),(2*3)+9=
*,+,1,4,7,4,11,(1*4),(1*4)+7=
//,//,6,9,8,0,0,(6//9),(6//9)//8=
+,*,4,3,8,7,56,(4+3),(4+3)*8=
*,-,3,8,7,24,17,(3*8),(3*8)-7=
*,+,7,2,4,14,18,(7*2),(7*2)+4=
-,*,9,4,4,5,20,(9-4),(9-4)*4=
+,//,5,3,5,8,1,(5+3),(5+3)//5=
//,+,7,1,1,7,8,(7//1),(7//1)+1=
-,-,8,5,9,3,-6,(8-5),(8-5)-9=
//,-,2,4,2,0,-2,(2//4),(2//4)-2=
+,+,4,1,1,5,6,(4+1),(4+1)+1=
*,//,3,2,8,6,0,(3*2),(3*2)//8=
+,//,4,7,6,11,1,(4+7),(4+7)//6=
+,+,7,5,8,12,20,(7+5),(7+5)+8=
//,-,5,7,5,0,-5,(5//7),(5//7)-5=
-,-,8,9,6,-1,-7,(8-9),(8-9)-6=
-,+,1,3,4,-2,2,(1-3),(1-3)+4=
+,*,7,8,8,15,120,(7+8),(7+8)*8=
*,*,2,9,2,18,36,(2*9),(2*9)*2=
//,//,6,9,3,0,0,(6//9),(6//9)//3=
//,+,3,6,8,0,8,(3//6),(3//6)+8=
*,+,9,8,7,72,79,(9*8),(9*8)+7=
+,*,9,8,5,17,85,(9+8),(9+8)*5=
-,-,4,7,2,-3,-5,(4-7),(4-7)-2=
-,+,3,6,4,-3,1,(3-6),(3-6)+4=
-,-,3,3,6,0,-6,(3-3),(3-3)-6=
//,*,9,1,1,9,9,(9//1),(9//1)*1=
+,+,1,6,6,7,13,(1+6),(1+6)+6=
-,-,4,8,2,-4,-6,(4-8),(4-8)-2=
*,*,6,5,3,30,90,(6*5),(6*5)*3=
*,-,8,7,3,56,53,(8*7),(8*7)-3=
*,+,2,8,3,16,19,(2*8),(2*8)+3=
//,+,9,3,3,3,6,(9//3),(9//3)+3=
+,-,1,5,3,6,3,(1+5),(1+5)-3=
+,//,3,6,2,9,4,(3+6),(3+6)//2=
*,*,9,8,2,72,144,(9*8),(9*8)*2=
//,//,4,9,7,0,0,(4//9),(4//9)//7=
*,+,5,1,6,5,11,(5*1),(5*1)+6=
//,//,3,3,8,1,0,(3//3),(3//3)//8=
-,//,2,5,2,-3,-2,(2-5),(2-5)//2=
+,*,4,7,5,11,55,(4+7),(4+7)*5=
+,*,2,5,4,7,28,(2+5),(2+5)*4=
//,//,5,4,3,1,0,(5//4),(5//4)//3=
//,*,8,1,7,8,56,(8//1),(8//1)*7=
+,//,7,2,9,9,1,(7+2),(7+2)//9=
*,//,6,1,5,6,1,(6*1),(6*1)//5=
*,-,5,5,2,25,23,(5*5),(5*5)-2=
+,//,6,2,2,8,4,(6+2),(6+2)//2=
*,*,6,4,3,24,72,(6*4),(6*4)*3=
-,-,1,1,6,0,-6,(1-1),(1-1)-6=
+,+,2,7,4,9,13,(2+7),(2+7)+4=
+,//,1,4,4,5,1,(1+4),(1+4)//4=
*,-,8,5,4,40,36,(8*5),(8*5)-4=
*,+,7,4,8,28,36,(7*4),(7*4)+8=
*,//,8,9,5,72,14,(8*9),(8*9)//5=
-,//,8,6,9,2,0,(8-6),(8-6)//9=
+,//,6,4,4,10,2,(6+4),(6+4)//4=
//,*,4,3,3,1,3,(4//3),(4//3)*3=
+,-,7,5,8,12,4,(7+5),(7+5)-8=
+,+,7,5,7,12,19,(7+5),(7+5)+7=
-,*,7,2,5,5,25,(7-2),(7-2)*5=
-,*,1,4,4,-3,-12,(1-4),(1-4)*4=
-,+,8,3,1,5,6,(8-3),(8-3)+1=
*,+,3,9,9,27,36,(3*9),(3*9)+9=
*,//,4,2,1,8,8,(4*2),(4*2)//1=
-,+,4,2,9,2,11,(4-2),(4-2)+9=
-,-,8,4,3,4,1,(8-4),(8-4)-3=
//,+,7,9,3,0,3,(7//9),(7//9)+3=
+,-,7,6,2,13,11,(7+6),(7+6)-2=
-,*,4,1,7,3,21,(4-1),(4-1)*7=
*,+,2,6,7,12,19,(2*6),(2*6)+7=
*,-,4,3,2,12,10,(4*3),(4*3)-2=
+,+,4,8,1,12,13,(4+8),(4+8)+1=
*,+,1,6,9,6,15,(1*6),(1*6)+9=
-,+,5,2,6,3,9,(5-2),(5-2)+6=
*,//,3,9,2,27,13,(3*9),(3*9)//2=
//,//,8,3,3,2,0,(8//3),(8//3)//3=
*,+,4,1,3,4,7,(4*1),(4*1)+3=
//,+,5,5,4,1,5,(5//5),(5//5)+4=
//,-,1,7,4,0,-4,(1//7),(1//7)-4=
+,+,6,1,2,7,9,(6+1),(6+1)+2=
+,+,3,1,5,4,9,(3+1),(3+1)+5=
+,+,8,6,7,14,21,(8+6),(8+6)+7=
-,+,8,4,1,4,5,(8-4),(8-4)+1=
+,*,9,9,3,18,54,(9+9),(9+9)*3=
*,+,6,7,4,42,46,(6*7),(6*7)+4=
-,-,2,1,2,1,-1,(2-1),(2-1)-2=
*,//,4,7,1,28,28,(4*7),(4*7)//1=
//,//,6,7,3,0,0,(6//7),(6//7)//3=
+,+,3,2,7,5,12,(3+2),(3+2)+7=
+,+,1,4,6,5,11,(1+4),(1+4)+6=
-,+,3,9,8,-6,2,(3-9),(3-9)+8=
+,*,8,7,3,15,45,(8+7),(8+7)*3=
//,+,6,4,6,1,7,(6//4),(6//4)+6=
+,+,8,8,4,16,20,(8+8),(8+8)+4=
+,+,1,2,3,3,6,(1+2),(1+2)+3=
+,//,3,5,1,8,8,(3+5),(3+5)//1=
//,//,6,6,6,1,0,(6//6),(6//6)//6=
*,//,5,8,7,40,5,(5*8),(5*8)//7=
*,//,5,2,4,10,2,(5*2),(5*2)//4=
-,*,1,2,3,-1,-3,(1-2),(1-2)*3=
-,*,7,3,7,4,28,(7-3),(7-3)*7=
+,//,2,9,6,11,1,(2+9),(2+9)//6=
//,*,1,8,7,0,0,(1//8),(1//8)*7=
//,+,3,5,6,0,6,(3//5),(3//5)+6=
*,*,9,7,8,63,504,(9*7),(9*7)*8=
*,+,3,8,5,24,29,(3*8),(3*8)+5=
//,//,1,1,6,1,0,(1//1),(1//1)//6=
//,*,2,9,1,0,0,(2//9),(2//9)*1=
+,-,9,3,8,12,4,(9+3),(9+3)-8=
//,+,5,9,6,0,6,(5//9),(5//9)+6=
-,//,2,5,9,-3,-1,(2-5),(2-5)//9=
//,-,3,3,8,1,-7,(3//3),(3//3)-8=
*,-,7,6,2,42,40,(7*6),(7*6)-2=
//,-,6,8,6,0,-6,(6//8),(6//8)-6=
-,//,7,8,9,-1,-1,(7-8),(7-8)//9=
+,*,3,7,2,10,20,(3+7),(3+7)*2=
+,*,6,9,3,15,45,(6+9),(6+9)*3=
*,+,6,9,7,54,61,(6*9),(6*9)+7=
*,//,4,5,5,20,4,(4*5),(4*5)//5=
-,+,2,6,6,-4,2,(2-6),(2-6)+6=
+,*,4,8,6,12,72,(4+8),(4+8)*6=
//,+,4,1,7,4,11,(4//1),(4//1)+7=
*,-,9,5,6,45,39,(9*5),(9*5)-6=
-,+,6,4,4,2,6,(6-4),(6-4)+4=
+,-,9,5,3,14,11,(9+5),(9+5)-3=
+,+,2,3,7,5,12,(2+3),(2+3)+7=
//,-,6,2,4,3,-1,(6//2),(6//2)-4=
-,-,2,5,8,-3,-11,(2-5),(2-5)-8=
+,+,2,9,2,11,13,(2+9),(2+9)+2=
*,+,6,4,3,24,27,(6*4),(6*4)+3=
+,//,2,1,2,3,1,(2+1),(2+1)//2=
//,*,5,2,5,2,10,(5//2),(5//2)*5=
+,-,1,2,7,3,-4,(1+2),(1+2)-7=
//,-,8,4,2,2,0,(8//4),(8//4)-2=
+,*,9,4,6,13,78,(9+4),(9+4)*6=
+,//,9,5,5,14,2,(9+5),(9+5)//5=
+,*,8,9,2,17,34,(8+9),(8+9)*2=
+,//,1,7,3,8,2,(1+7),(1+7)//3=
+,+,7,2,4,9,13,(7+2),(7+2)+4=
//,-,6,3,9,2,-7,(6//3),(6//3)-9=
*,//,4,9,6,36,6,(4*9),(4*9)//6=
+,-,4,3,7,7,0,(4+3),(4+3)-7=
+,+,5,6,5,11,16,(5+6),(5+6)+5=
-,-,8,9,9,-1,-10,(8-9),(8-9)-9=
*,*,4,6,6,24,144,(4*6),(4*6)*6=
-,//,1,8,5,-7,-2,(1-8),(1-8)//5=
+,+,8,9,9,17,26,(8+9),(8+9)+9=
*,+,4,6,3,24,27,(4*6),(4*6)+3=
-,-,2,5,7,-3,-10,(2-5),(2-5)-7=
*,*,1,4,5,4,20,(1*4),(1*4)*5=
//,*,2,4,4,0,0,(2//4),(2//4)*4=
*,-,2,2,1,4,3,(2*2),(2*2)-1=
-,-,2,3,1,-1,-2,(2-3),(2-3)-1=
+,*,7,6,1,13,13,(7+6),(7+6)*1=
*,//,4,2,4,8,2,(4*2),(4*2)//4=
*,//,3,3,1,9,9,(3*3),(3*3)//1=
*,//,6,9,8,54,6,(6*9),(6*9)//8=
-,-,1,3,7,-2,-9,(1-3),(1-3)-7=
+,+,9,6,9,15,24,(9+6),(9+6)+9=
+,//,5,3,9,8,0,(5+3),(5+3)//9=
+,*,6,4,8,10,80,(6+4),(6+4)*8=
//,-,4,9,2,0,-2,(4//9),(4//9)-2=
//,//,9,8,6,1,0,(9//8),(9//8)//6=
+,//,8,7,4,15,3,(8+7),(8+7)//4=
*,+,7,9,1,63,64,(7*9),(7*9)+1=
+,-,2,6,4,8,4,(2+6),(2+6)-4=
*,-,3,3,8,9,1,(3*3),(3*3)-8=
//,+,2,1,1,2,3,(2//1),(2//1)+1=
-,+,9,8,9,1,10,(9-8),(9-8)+9=
+,*,4,4,2,8,16,(4+4),(4+4)*2=
+,-,7,4,7,11,4,(7+4),(7+4)-7=
+,-,9,1,7,10,3,(9+1),(9+1)-7=
+,//,3,9,6,12,2,(3+9),(3+9)//6=
-,+,5,8,5,-3,2,(5-8),(5-8)+5=
//,*,5,8,6,0,0,(5//8),(5//8)*6=
//,+,7,6,2,1,3,(7//6),(7//6)+2=
//,//,3,9,7,0,0,(3//9),(3//9)//7=
-,+,8,4,5,4,9,(8-4),(8-4)+5=
//,*,6,1,1,6,6,(6//1),(6//1)*1=
//,-,3,8,7,0,-7,(3//8),(3//8)-7=
+,//,6,8,3,14,4,(6+8),(6+8)//3=
//,*,1,8,4,0,0,(1//8),(1//8)*4=
*,-,3,9,1,27,26,(3*9),(3*9)-1=
//,+,9,9,6,1,7,(9//9),(9//9)+6=
//,+,6,2,5,3,8,(6//2),(6//2)+5=
//,//,4,6,8,0,0,(4//6),(4//6)//8=
-,//,1,1,6,0,0,(1-1),(1-1)//6=
-,-,4,3,6,1,-5,(4-3),(4-3)-6=
*,+,7,2,2,14,16,(7*2),(7*2)+2=
-,*,7,6,8,1,8,(7-6),(7-6)*8=
-,*,9,2,6,7,42,(9-2),(9-2)*6=
//,//,4,4,7,1,0,(4//4),(4//4)//7=
*,+,3,1,4,3,7,(3*1),(3*1)+4=
//,-,5,3,1,1,0,(5//3),(5//3)-1=
-,*,4,3,6,1,6,(4-3),(4-3)*6=
+,+,4,9,8,13,21,(4+9),(4+9)+8=
+,//,2,3,3,5,1,(2+3),(2+3)//3=
-,*,4,6,2,-2,-4,(4-6),(4-6)*2=
//,*,3,3,4,1,4,(3//3),(3//3)*4=
//,+,5,3,1,1,2,(5//3),(5//3)+1=
-,+,7,2,3,5,8,(7-2),(7-2)+3=
//,-,7,7,8,1,-7,(7//7),(7//7)-8=
*,//,5,4,7,20,2,(5*4),(5*4)//7=
//,//,6,9,9,0,0,(6//9),(6//9)//9=
*,*,4,9,2,36,72,(4*9),(4*9)*2=
+,*,4,5,7,9,63,(4+5),(4+5)*7=
-,*,2,3,9,-1,-9,(2-3),(2-3)*9=
-,//,2,9,9,-7,-1,(2-9),(2-9)//9=
+,*,7,3,1,10,10,(7+3),(7+3)*1=
+,*,1,8,5,9,45,(1+8),(1+8)*5=
*,*,2,4,3,8,24,(2*4),(2*4)*3=
//,//,3,6,5,0,0,(3//6),(3//6)//5=
-,*,2,8,4,-6,-24,(2-8),(2-8)*4=
-,-,6,3,1,3,2,(6-3),(6-3)-1=
*,+,1,9,7,9,16,(1*9),(1*9)+7=
*,-,6,4,8,24,16,(6*4),(6*4)-8=
*,//,3,8,5,24,4,(3*8),(3*8)//5=
-,+,3,5,7,-2,5,(3-5),(3-5)+7=
+,+,9,8,3,17,20,(9+8),(9+8)+3=
-,+,8,9,6,-1,5,(8-9),(8-9)+6=
*,//,7,6,1,42,42,(7*6),(7*6)//1=
*,-,9,7,8,63,55,(9*7),(9*7)-8=
//,+,3,3,5,1,6,(3//3),(3//3)+5=
-,-,1,6,4,-5,-9,(1-6),(1-6)-4=
+,//,4,3,7,7,1,(4+3),(4+3)//7=
+,*,3,8,1,11,11,(3+8),(3+8)*1=
+,+,5,1,9,6,15,(5+1),(5+1)+9=
//,*,4,8,2,0,0,(4//8),(4//8)*2=
*,+,9,4,3,36,39,(9*4),(9*4)+3=
//,*,4,5,9,0,0,(4//5),(4//5)*9=
*,+,8,6,4,48,52,(8*6),(8*6)+4=
*,//,1,5,5,5,1,(1*5),(1*5)//5=
//,-,8,1,7,8,1,(8//1),(8//1)-7=
*,//,4,7,6,28,4,(4*7),(4*7)//6=
-,*,6,8,7,-2,-14,(6-8),(6-8)*7=
*,//,4,4,3,16,5,(4*4),(4*4)//3=
//,-,4,6,5,0,-5,(4//6),(4//6)-5=
-,-,9,9,2,0,-2,(9-9),(9-9)-2=
*,-,1,9,9,9,0,(1*9),(1*9)-9=
//,//,5,9,9,0,0,(5//9),(5//9)//9=
+,//,6,5,7,11,1,(6+5),(6+5)//7=
//,//,4,8,9,0,0,(4//8),(4//8)//9=
-,*,5,7,9,-2,-18,(5-7),(5-7)*9=
//,*,9,5,4,1,4,(9//5),(9//5)*4=
*,*,5,2,9,10,90,(5*2),(5*2)*9=
//,//,1,8,7,0,0,(1//8),(1//8)//7=
*,-,3,9,7,27,20,(3*9),(3*9)-7=
//,-,3,4,5,0,-5,(3//4),(3//4)-5=
-,*,8,4,7,4,28,(8-4),(8-4)*7=
//,-,4,7,7,0,-7,(4//7),(4//7)-7=
//,//,9,5,7,1,0,(9//5),(9//5)//7=
//,-,9,8,6,1,-5,(9//8),(9//8)-6=
//,-,1,4,7,0,-7,(1//4),(1//4)-7=
//,*,7,7,6,1,6,(7//7),(7//7)*6=
-,-,9,3,9,6,-3,(9-3),(9-3)-9=
//,-,6,1,6,6,0,(6//1),(6//1)-6=
-,//,8,3,3,5,1,(8-3),(8-3)//3=
+,//,8,6,2,14,7,(8+6),(8+6)//2=
+,*,2,8,9,10,90,(2+8),(2+8)*9=
//,-,7,5,6,1,-5,(7//5),(7//5)-6=
+,//,1,5,3,6,2,(1+5),(1+5)//3=
*,+,5,2,1,10,11,(5*2),(5*2)+1=
-,+,4,4,7,0,7,(4-4),(4-4)+7=
+,-,6,4,4,10,6,(6+4),(6+4)-4=
//,-,9,2,9,4,-5,(9//2),(9//2)-9=
-,-,6,8,8,-2,-10,(6-8),(6-8)-8=
+,-,3,5,5,8,3,(3+5),(3+5)-5=
+,*,3,9,1,12,12,(3+9),(3+9)*1=
+,+,1,4,4,5,9,(1+4),(1+4)+4=
+,*,7,4,1,11,11,(7+4),(7+4)*1=
+,*,4,4,8,8,64,(4+4),(4+4)*8=
//,//,4,2,9,2,0,(4//2),(4//2)//9=
//,//,8,8,1,1,1,(8//8),(8//8)//1=
-,+,1,4,8,-3,5,(1-4),(1-4)+8=
-,*,2,7,1,-5,-5,(2-7),(2-7)*1=
*,//,8,8,3,64,21,(8*8),(8*8)//3=
*,+,8,7,9,56,65,(8*7),(8*7)+9=
-,+,4,7,9,-3,6,(4-7),(4-7)+9=
*,//,8,7,6,56,9,(8*7),(8*7)//6=
+,-,5,8,9,13,4,(5+8),(5+8)-9=
//,-,5,5,5,1,-4,(5//5),(5//5)-5=
+,-,7,9,2,16,14,(7+9),(7+9)-2=
*,*,3,7,9,21,189,(3*7),(3*7)*9=
+,-,5,8,6,13,7,(5+8),(5+8)-6=
*,-,6,6,4,36,32,(6*6),(6*6)-4=
//,*,8,4,3,2,6,(8//4),(8//4)*3=
+,-,4,4,9,8,-1,(4+4),(4+4)-9=
+,+,3,3,5,6,11,(3+3),(3+3)+5=
//,-,9,1,7,9,2,(9//1),(9//1)-7=
//,*,7,6,8,1,8,(7//6),(7//6)*8=
+,*,7,8,4,15,60,(7+8),(7+8)*4=
*,*,6,4,9,24,216,(6*4),(6*4)*9=
-,//,1,5,1,-4,-4,(1-5),(1-5)//1=
*,+,9,4,1,36,37,(9*4),(9*4)+1=
//,*,4,4,8,1,8,(4//4),(4//4)*8=
-,*,7,4,1,3,3,(7-4),(7-4)*1=
-,//,2,8,2,-6,-3,(2-8),(2-8)//2=
+,+,9,9,8,18,26,(9+9),(9+9)+8=
-,//,4,5,4,-1,-1,(4-5),(4-5)//4=
*,+,7,6,8,42,50,(7*6),(7*6)+8=
+,//,1,2,8,3,0,(1+2),(1+2)//8=
-,+,4,2,8,2,10,(4-2),(4-2)+8=
-,+,6,4,7,2,9,(6-4),(6-4)+7=
-,-,9,2,7,7,0,(9-2),(9-2)-7=
*,+,8,6,7,48,55,(8*6),(8*6)+7=
*,//,9,4,3,36,12,(9*4),(9*4)//3=
-,//,1,1,4,0,0,(1-1),(1-1)//4=
+,*,4,6,5,10,50,(4+6),(4+6)*5=
