variable,op1,op2,n1,n2,n3,intermediate,answer,eq1,eq2,eqfull
z,+,*,1,8,1,9,9,z=1+8,z*1=,z=1+8. z*1=
s,-,+,8,6,5,2,7,s=8-6,s+5=,s=8-6. s+5=
a,*,*,3,6,9,18,162,a=3*6,a*9=,a=3*6. a*9=
z,//,//,9,6,2,1,0,z=9//6,z//2=,z=9//6. z//2=
n,//,-,9,9,4,1,-3,n=9//9,n-4=,n=9//9. n-4=
g,*,+,2,8,2,16,18,g=2*8,g+2=,g=2*8. g+2=
n,*,-,7,4,2,28,26,n=7*4,n-2=,n=7*4. n-2=
l,*,//,3,2,4,6,1,l=3*2,l//4=,l=3*2. l//4=
w,*,-,3,8,1,24,23,w=3*8,w-1=,w=3*8. w-1=
v,*,*,4,2,6,8,48,v=4*2,v*6=,v=4*2. v*6=
p,*,+,5,6,7,30,37,p=5*6,p+7=,p=5*6. p+7=
d,+,//,5,9,7,14,2,d=5+9,d//7=,d=5+9. d//7=
f,+,//,2,5,3,7,2,f=2+5,f//3=,f=2+5. f//3=
r,*,*,8,1,3,8,24,r=8*1,r*3=,r=8*1. r*3=
y,//,//,7,2,6,3,0,y=7//2,y//6=,y=7//2. y//6=
i,+,+,9,5,8,14,22,i=9+5,i+8=,i=9+5. i+8=
o,-,//,1,2,6,-1,-1,o=1-2,o//6=,o=1-2. o//6=
p,//,*,4,3,9,1,9,p=4//3,p*9=,p=4//3. p*9=
e,*,-,1,8,2,8,6,e=1*8,e-2=,e=1*8. e-2=
a,+,//,1,7,7,8,1,a=1+7,a//7=,a=1+7. a//7=
s,*,-,1,7,8,7,-1,s=1*7,s-8=,s=1*7. s-8=
j,//,*,8,1,2,8,16,j=8//1,j*2=,j=8//1. j*2=
x,-,*,4,8,4,-4,-16,x=4-8,x*4=,x=4-8. x*4=
h,//,*,7,2,8,3,24,h=7//2,h*8=,h=7//2. h*8=
s,-,+,8,7,8,1,9,s=8-7,s+8=,s=8-7. s+8=
r,//,-,3,3,3,1,-2,r=3//3,r-3=,r=3//3. r-3=
o,+,-,4,9,3,13,10,o=4+9,o-3=,o=4+9. o-3=
z,*,//,4,3,9,12,1,z=4*3,z//9=,z=4*3. z//9=
k,-,*,9,6,3,3,9,k=9-6,k*3=,k=9-6. k*3=
t,*,-,6,7,2,42,40,t=6*7,t-2=,t=6*7. t-2=
x,+,+,7,9,8,16,24,x=7+9,x+8=,x=7+9. x+8=
r,-,//,3,9,2,-6,-3,r=3-9,r//2=,r=3-9. r//2=
d,-,+,7,3,7,4,11,d=7-3,d+7=,d=7-3. d+7=
b,+,//,1,7,3,8,2,b=1+7,b//3=,b=1+7. b//3=
v,+,+,4,3,3,7,10,v=4+3,v+3=,v=4+3. v+3=
n,//,//,3,5,2,0,0,n=3//5,n//2=,n=3//5. n//2=
d,+,-,5,4,3,9,6,d=5+4,d-3=,d=5+4. d-3=
t,//,//,6,1,2,6,3,t=6//1,t//2=,t=6//1. t//2=
q,-,-,7,2,9,5,-4,q=7-2,q-9=,q=7-2. q-9=
u,*,-,3,4,8,12,4,u=3*4,u-8=,u=3*4. u-8=
k,-,+,2,9,2,-7,-5,k=2-9,k+2=,k=2-9. k+2=
y,//,-,1,2,5,0,-5,y=1//2,y-5=,y=1//2. y-5=
x,//,-,8,3,4,2,-2,x=8//3,x-4=,x=8//3. x-4=
l,+,*,1,4,7,5,35,l=1+4,l*7=,l=1+4. l*7=
e,*,//,6,7,7,42,6,e=6*7,e//7=,e=6*7. e//7=
t,+,//,3,7,5,10,2,t=3+7,t//5=,t=3+7. t//5=
o,*,+,7,7,8,49,57,o=7*7,o+8=,o=7*7. o+8=
b,-,//,9,6,6,3,0,b=9-6,b//6=,b=9-6. b//6=
m,-,//,5,5,2,0,0,m=5-5,m//2=,m=5-5. m//2=
y,+,-,2,2,3,4,1,y=2+2,y-3=,y=2+2. y-3=
m,//,-,7,7,8,1,-7,m=7//7,m-8=,m=7//7. m-8=
y,-,*,8,6,3,2,6,y=8-6,y*3=,y=8-6. y*3=
e,*,*,2,3,5,6,30,e=2*3,e*5=,e=2*3. e*5=
h,+,+,6,9,6,15,21,h=6+9,h+6=,h=6+9. h+6=
f,*,*,4,3,4,12,48,f=4*3,f*4=,f=4*3. f*4=
g,-,//,6,5,7,1,0,g=6-5,g//7=,g=6-5. g//7=
z,*,*,3,1,5,3,15,z=3*1,z*5=,z=3*1. z*5=
a,*,-,8,9,5,72,67,a=8*9,a-5=,a=8*9. a-5=
q,-,+,7,5,8,2,10,q=7-5,q+8=,q=7-5. q+8=
w,+,//,7,8,7,15,2,w=7+8,w//7=,w=7+8. w//7=
m,+,+,4,8,6,12,18,m=4+8,m+6=,m=4+8. m+6=
h,-,+,3,4,6,-1,5,h=3-4,h+6=,h=3-4. h+6=
e,//,-,2,3,7,0,-7,e=2//3,e-7=,e=2//3. e-7=
f,+,//,7,8,9,15,1,f=7+8,f//9=,f=7+8. f//9=
y,*,*,8,6,6,48,288,y=8*6,y*6=,y=8*6. y*6=
c,+,*,7,8,1,15,15,c=7+8,c*1=,c=7+8. c*1=
r,//,+,8,4,8,2,10,r=8//4,r+8=,r=8//4. r+8=
b,//,//,6,7,1,0,0,b=6//7,b//1=,b=6//7. b//1=
w,+,*,4,8,3,12,36,w=4+8,w*3=,w=4+8. w*3=
z,-,-,7,7,3,0,-3,z=7-7,z-3=,z=7-7. z-3=
u,//,*,3,3,8,1,8,u=3//3,u*8=,u=3//3. u*8=
j,//,-,1,8,7,0,-7,j=1//8,j-7=,j=1//8. j-7=
u,//,*,2,1,1,2,2,u=2//1,u*1=,u=2//1. u*1=
j,-,//,7,3,8,4,0,j=7-3,j//8=,j=7-3. j//8=
y,-,-,8,7,7,1,-6,y=8-7,y-7=,y=8-7. y-7=
l,*,*,7,5,7,35,245,l=7*5,l*7=,l=7*5. l*7=
w,//,*,2,4,1,0,0,w=2//4,w*1=,w=2//4. w*1=
j,//,*,1,1,6,1,6,j=1//1,j*6=,j=1//1. j*6=
l,*,*,2,7,9,14,126,l=2*7,l*9=,l=2*7. l*9=
i,+,+,3,8,9,11,20,i=3+8,i+9=,i=3+8. i+9=
z,*,-,2,9,3,18,15,z=2*9,z-3=,z=2*9. z-3=
a,-,+,4,7,8,-3,5,a=4-7,a+8=,a=4-7. a+8=
l,//,+,4,8,3,0,3,l=4//8,l+3=,l=4//8. l+3=
y,//,//,1,2,8,0,0,y=1//2,y//8=,y=1//2. y//8=
k,//,*,3,8,4,0,0,k=3//8,k*4=,k=3//8. k*4=
d,*,-,8,1,7,8,1,d=8*1,d-7=,d=8*1. d-7=
y,*,*,9,4,6,36,216,y=9*4,y*6=,y=9*4. y*6=
i,//,//,3,6,9,0,0,i=3//6,i//9=,i=3//6. i//9=
i,-,+,2,3,1,-1,0,i=2-3,i+1=,i=2-3. i+1=
z,+,+,3,1,2,4,6,z=3+1,z+2=,z=3+1. z+2=
g,-,-,1,4,1,-3,-4,g=1-4,g-1=,g=1-4. g-1=
s,*,-,1,8,9,8,-1,s=1*8,s-9=,s=1*8. s-9=
v,-,-,7,9,1,-2,-3,v=7-9,v-1=,v=7-9. v-1=
b,*,*,7,9,1,63,63,b=7*9,b*1=,b=7*9. b*1=
m,//,//,2,8,4,0,0,m=2//8,m//4=,m=2//8. m//4=
x,*,//,6,4,1,24,24,x=6*4,x//1=,x=6*4. x//1=
b,*,*,8,6,3,48,144,b=8*6,b*3=,b=8*6. b*3=
j,+,//,6,7,1,13,13,j=6+7,j//1=,j=6+7. j//1=
e,*,-,8,9,8,72,64,e=8*9,e-8=,e=8*9. e-8=
t,*,//,3,6,6,18,3,t=3*6,t//6=,t=3*6. t//6=
o,-,-,6,4,6,2,-4,o=6-4,o-6=,o=6-4. o-6=
f,*,-,4,3,8,12,4,f=4*3,f-8=,f=4*3. f-8=
q,//,-,4,2,7,2,-5,q=4//2,q-7=,q=4//2. q-7=
j,*,-,1,6,1,6,5,j=1*6,j-1=,j=1*6. j-1=
j,*,-,9,2,7,18,11,j=9*2,j-7=,j=9*2. j-7=
b,-,-,5,7,4,-2,-6,b=5-7,b-4=,b=5-7. b-4=
f,+,*,7,2,6,9,54,f=7+2,f*6=,f=7+2. f*6=
x,*,*,3,6,7,18,126,x=3*6,x*7=,x=3*6. x*7=
t,//,//,7,9,2,0,0,t=7//9,t//2=,t=7//9. t//2=
h,+,*,3,2,4,5,20,h=3+2,h*4=,h=3+2. h*4=
s,*,-,8,8,8,64,56,s=8*8,s-8=,s=8*8. s-8=
f,+,*,4,4,3,8,24,f=4+4,f*3=,f=4+4. f*3=
o,-,*,2,8,9,-6,-54,o=2-8,o*9=,o=2-8. o*9=
a,//,-,2,1,1,2,1,a=2//1,a-1=,a=2//1. a-1=
f,-,*,1,8,4,-7,-28,f=1-8,f*4=,f=1-8. f*4=
a,+,*,9,3,1,12,12,a=9+3,a*1=,a=9+3. a*1=
a,//,+,1,8,1,0,1,a=1//8,a+1=,a=1//8. a+1=
l,*,-,4,8,4,32,28,l=4*8,l-4=,l=4*8. l-4=
e,//,*,8,5,9,1,9,e=8//5,e*9=,e=8//5. e*9=
r,//,*,7,5,4,1,4,r=7//5,r*4=,r=7//5. r*4=
n,//,+,3,6,7,0,7,n=3//6,n+7=,n=3//6. n+7=
f,//,//,2,1,6,2,0,f=2//1,f//6=,f=2//1. f//6=
q,-,+,7,6,8,1,9,q=7-6,q+8=,q=7-6. q+8=
h,-,*,2,7,1,-5,-5,h=2-7,h*1=,h=2-7. h*1=
m,-,*,3,6,5,-3,-15,m=3-6,m*5=,m=3-6. m*5=
n,+,//,8,6,1,14,14,n=8+6,n//1=,n=8+6. n//1=
q,+,+,9,5,5,14,19,q=9+5,q+5=,q=9+5. q+5=
r,+,+,8,7,1,15,16,r=8+7,r+1=,r=8+7. r+1=
b,//,-,6,3,1,2,1,b=6//3,b-1=,b=6//3. b-1=
b,-,//,5,2,9,3,0,b=5-2,b//9=,b=5-2. b//9=
c,*,+,3,9,8,27,35,c=3*9,c+8=,c=3*9. c+8=
d,*,//,3,7,6,21,3,d=3*7,d//6=,d=3*7. d//6=
o,+,*,4,3,4,7,28,o=4+3,o*4=,o=4+3. o*4=
m,+,//,2,6,2,8,4,m=2+6,m//2=,m=2+6. m//2=
h,//,*,8,5,9,1,9,h=8//5,h*9=,h=8//5. h*9=
g,//,*,4,5,1,0,0,g=4//5,g*1=,g=4//5. g*1=
i,*,//,4,1,1,4,4,i=4*1,i//1=,i=4*1. i//1=
g,*,+,3,4,4,12,16,g=3*4,g+4=,g=3*4. g+4=
i,*,-,7,2,8,14,6,i=7*2,i-8=,i=7*2. i-8=
q,//,//,8,9,4,0,0,q=8//9,q//4=,q=8//9. q//4=
b,*,-,3,6,6,18,12,b=3*6,b-6=,b=3*6. b-6=
p,+,+,9,3,5,12,17,p=9+3,p+5=,p=9+3. p+5=
v,+,+,4,5,5,9,14,v=4+5,v+5=,v=4+5. v+5=
a,-,+,6,6,8,0,8,a=6-6,a+8=,a=6-6. a+8=
z,*,*,3,3,9,9,81,z=3*3,z*9=,z=3*3. z*9=
y,+,*,7,9,4,16,64,y=7+9,y*4=,y=7+9. y*4=
t,//,//,7,1,6,7,1,t=7//1,t//6=,t=7//1. t//6=
e,-,-,1,6,3,-5,-8,e=1-6,e-3=,e=1-6. e-3=
y,-,-,9,7,3,2,-1,y=9-7,y-3=,y=9-7. y-3=
d,//,*,2,4,3,0,0,d=2//4,d*3=,d=2//4. d*3=
k,//,-,4,8,1,0,-1,k=4//8,k-1=,k=4//8. k-1=
x,-,//,9,2,9,7,0,x=9-2,x//9=,x=9-2. x//9=
t,+,*,9,1,5,10,50,t=9+1,t*5=,t=9+1. t*5=
i,+,*,2,4,2,6,12,i=2+4,i*2=,i=2+4. i*2=
t,*,//,5,9,4,45,11,t=5*9,t//4=,t=5*9. t//4=
x,-,//,3,8,7,-5,-1,x=3-8,x//7=,x=3-8. x//7=
c,//,+,5,1,5,5,10,c=5//1,c+5=,c=5//1. c+5=
z,+,-,1,8,6,9,3,z=1+8,z-6=,z=1+8. z-6=
p,*,+,9,1,8,9,17,p=9*1,p+8=,p=9*1. p+8=
e,*,-,7,2,6,14,8,e=7*2,e-6=,e=7*2. e-6=
f,-,*,2,4,8,-2,-16,f=2-4,f*8=,f=2-4. f*8=
b,*,-,1,2,3,2,-1,b=1*2,b-3=,b=1*2. b-3=
a,-,+,4,1,6,3,9,a=4-1,a+6=,a=4-1. a+6=
z,//,-,5,2,1,2,1,z=5//2,z-1=,z=5//2. z-1=
b,//,//,4,6,9,0,0,b=4//6,b//9=,b=4//6. b//9=
d,*,*,3,9,1,27,27,d=3*9,d*1=,d=3*9. d*1=
h,*,-,8,7,9,56,47,h=8*7,h-9=,h=8*7. h-9=
q,//,-,7,2,3,3,0,q=7//2,q-3=,q=7//2. q-3=
z,*,+,5,8,4,40,44,z=5*8,z+4=,z=5*8. z+4=
t,+,*,8,4,2,12,24,t=8+4,t*2=,t=8+4. t*2=
n,-,+,9,4,4,5,9,n=9-4,n+4=,n=9-4. n+4=
s,//,//,2,3,1,0,0,s=2//3,s//1=,s=2//3. s//1=
u,+,*,6,5,5,11,55,u=6+5,u*5=,u=6+5. u*5=
y,+,*,6,4,7,10,70,y=6+4,y*7=,y=6+4. y*7=
i,*,-,1,4,2,4,2,i=1*4,i-2=,i=1*4. i-2=
z,-,//,2,1,8,1,0,z=2-1,z//8=,z=2-1. z//8=
o,+,//,2,9,8,11,1,o=2+9,o//8=,o=2+9. o//8=
n,+,+,5,5,5,10,15,n=5+5,n+5=,n=5+5. n+5=
r,//,+,2,2,9,1,10,r=2//2,r+9=,r=2//2. r+9=
h,*,*,1,1,2,1,2,h=1*1,h*2=,h=1*1. h*2=
f,+,+,6,5,1,11,12,f=6+5,f+1=,f=6+5. f+1=
o,-,-,7,4,3,3,0,o=7-4,o-3=,o=7-4. o-3=
y,*,-,5,4,9,20,11,y=5*4,y-9=,y=5*4. y-9=
n,*,-,1,7,9,7,-2,n=1*7,n-9=,n=1*7. n-9=
g,-,-,9,5,9,4,-5,g=9-5,g-9=,g=9-5. g-9=
r,//,//,5,5,5,1,0,r=5//5,r//5=,r=5//5. r//5=
e,*,*,5,3,8,15,120,e=5*3,e*8=,e=5*3. e*8=
c,*,+,7,4,6,28,34,c=7*4,c+6=,c=7*4. c+6=
v,+,//,6,4,7,10,1,v=6+4,v//7=,v=6+4. v//7=
q,*,*,2,4,6,8,48,q=2*4,q*6=,q=2*4. q*6=
k,//,-,2,9,5,0,-5,k=2//9,k-5=,k=2//9. k-5=
g,-,*,4,7,6,-3,-18,g=4-7,g*6=,g=4-7. g*6=
e,//,//,5,5,3,1,0,e=5//5,e//3=,e=5//5. e//3=
a,//,-,6,1,1,6,5,a=6//1,a-1=,a=6//1. a-1=
p,*,//,4,6,5,24,4,p=4*6,p//5=,p=4*6. p//5=
f,+,//,4,3,2,7,3,f=4+3,f//2=,f=4+3. f//2=
d,*,-,9,3,8,27,19,d=9*3,d-8=,d=9*3. d-8=
c,//,*,3,3,2,1,2,c=3//3,c*2=,c=3//3. c*2=
k,+,-,3,5,1,8,7,k=3+5,k-1=,k=3+5. k-1=
q,-,+,9,9,6,0,6,q=9-9,q+6=,q=9-9. q+6=
v,//,-,3,5,1,0,-1,v=3//5,v-1=,v=3//5. v-1=
u,-,*,1,5,4,-4,-16,u=1-5,u*4=,u=1-5. u*4=
k,//,-,7,7,3,1,-2,k=7//7,k-3=,k=7//7. k-3=
m,*,*,8,8,9,64,576,m=8*8,m*9=,m=8*8. m*9=
l,//,*,3,4,6,0,0,l=3//4,l*6=,l=3//4. l*6=
a,*,//,9,9,4,81,20,a=9*9,a//4=,a=9*9. a//4=
p,+,-,9,2,8,11,3,p=9+2,p-8=,p=9+2. p-8=
i,+,+,5,9,4,14,18,i=5+9,i+4=,i=5+9. i+4=
t,+,*,2,5,5,7,35,t=2+5,t*5=,t=2+5. t*5=
m,//,//,7,3,6,2,0,m=7//3,m//6=,m=7//3. m//6=
m,*,//,7,3,1,21,21,m=7*3,m//1=,m=7*3. m//1=
i,//,-,9,8,5,1,-4,i=9//8,i-5=,i=9//8. i-5=
p,*,-,7,4,3,28,25,p=7*4,p-3=,p=7*4. p-3=
n,*,//,2,4,8,8,1,n=2*4,n//8=,n=2*4. n//8=
i,-,+,4,1,3,3,6,i=4-1,i+3=,i=4-1. i+3=
f,*,//,1,9,2,9,4,f=1*9,f//2=,f=1*9. f//2=
c,-,+,7,3,9,4,13,c=7-3,c+9=,c=7-3. c+9=
p,//,-,2,8,4,0,-4,p=2//8,p-4=,p=2//8. p-4=
z,//,-,3,2,2,1,-1,z=3//2,z-2=,z=3//2. z-2=
b,+,*,6,4,6,10,60,b=6+4,b*6=,b=6+4. b*6=
k,+,*,3,2,5,5,25,k=3+2,k*5=,k=3+2. k*5=
v,//,*,9,2,3,4,12,v=9//2,v*3=,v=9//2. v*3=
i,*,-,1,3,4,3,-1,i=1*3,i-4=,i=1*3. i-4=
j,+,-,4,8,7,12,5,j=4+8,j-7=,j=4+8. j-7=
a,-,+,2,9,7,-7,0,a=2-9,a+7=,a=2-9. a+7=
s,//,*,2,6,8,0,0,s=2//6,s*8=,s=2//6. s*8=
n,//,//,7,8,7,0,0,n=7//8,n//7=,n=7//8. n//7=
k,//,*,5,1,4,5,20,k=5//1,k*4=,k=5//1. k*4=
r,//,*,5,5,5,1,5,r=5//5,r*5=,r=5//5. r*5=
q,+,//,1,7,5,8,1,q=1+7,q//5=,q=1+7. q//5=
l,*,//,8,7,8,56,7,l=8*7,l//8=,l=8*7. l//8=
a,//,//,6,8,6,0,0,a=6//8,a//6=,a=6//8. a//6=
h,-,-,5,6,7,-1,-8,h=5-6,h-7=,h=5-6. h-7=
v,-,//,4,5,2,-1,-1,v=4-5,v//2=,v=4-5. v//2=
c,-,-,7,8,7,-1,-8,c=7-8,c-7=,c=7-8. c-7=
p,//,-,7,5,4,1,-3,p=7//5,p-4=,p=7//5. p-4=
r,//,*,8,3,1,2,2,r=8//3,r*1=,r=8//3. r*1=
z,+,+,8,2,8,10,18,z=8+2,z+8=,z=8+2. z+8=
r,*,+,4,8,7,32,39,r=4*8,r+7=,r=4*8. r+7=
a,-,+,7,6,2,1,3,a=7-6,a+2=,a=7-6. a+2=
q,-,*,4,7,5,-3,-15,q=4-7,q*5=,q=4-7. q*5=
n,//,//,9,3,6,3,0,n=9//3,n//6=,n=9//3. n//6=
w,-,-,7,1,4,6,2,w=7-1,w-4=,w=7-1. w-4=
j,//,*,5,9,7,0,0,j=5//9,j*7=,j=5//9. j*7=
o,//,+,4,7,9,0,9,o=4//7,o+9=,o=4//7. o+9=
o,-,+,8,8,8,0,8,o=8-8,o+8=,o=8-8. o+8=
h,-,//,6,3,2,3,1,h=6-3,h//2=,h=6-3. h//2=
o,*,-,3,4,4,12,8,o=3*4,o-4=,o=3*4. o-4=
b,*,-,2,2,4,4,0,b=2*2,b-4=,b=2*2. b-4=
l,//,-,9,3,6,3,-3,l=9//3,l-6=,l=9//3. l-6=
u,//,-,8,1,3,8,5,u=8//1,u-3=,u=8//1. u-3=
z,-,//,8,6,6,2,0,z=8-6,z//6=,z=8-6. z//6=
a,*,-,3,2,9,6,-3,a=3*2,a-9=,a=3*2. a-9=
g,//,+,8,1,9,8,17,g=8//1,g+9=,g=8//1. g+9=
n,-,//,5,7,2,-2,-1,n=5-7,n//2=,n=5-7. n//2=
x,-,+,4,6,8,-2,6,x=4-6,x+8=,x=4-6. x+8=
o,+,-,3,9,3,12,9,o=3+9,o-3=,o=3+9. o-3=
o,//,-,6,7,9,0,-9,o=6//7,o-9=,o=6//7. o-9=
b,*,-,3,1,5,3,-2,b=3*1,b-5=,b=3*1. b-5=
d,-,*,8,5,2,3,6,d=8-5,d*2=,d=8-5. d*2=
e,+,+,6,7,7,13,20,e=6+7,e+7=,e=6+7. e+7=
x,//,+,7,3,3,2,5,x=7//3,x+3=,x=7//3. x+3=
a,//,//,5,2,2,2,1,a=5//2,a//2=,a=5//2. a//2=
x,+,+,7,2,3,9,12,x=7+2,x+3=,x=7+2. x+3=
z,+,*,3,9,5,12,60,z=3+9,z*5=,z=3+9. z*5=
u,//,-,7,6,9,1,-8,u=7//6,u-9=,u=7//6. u-9=
c,//,-,6,5,5,1,-4,c=6//5,c-5=,c=6//5. c-5=
d,//,//,2,1,5,2,0,d=2//1,d//5=,d=2//1. d//5=
h,-,-,3,4,4,-1,-5,h=3-4,h-4=,h=3-4. h-4=
q,//,-,5,7,2,0,-2,q=5//7,q-2=,q=5//7. q-2=
z,-,-,7,9,4,-2,-6,z=7-9,z-4=,z=7-9. z-4=
l,-,+,7,1,7,6,13,l=7-1,l+7=,l=7-1. l+7=
t,+,//,5,4,5,9,1,t=5+4,t//5=,t=5+4. t//5=
s,*,+,2,2,5,4,9,s=2*2,s+5=,s=2*2. s+5=
q,//,//,1,1,1,1,1,q=1//1,q//1=,q=1//1. q//1=
f,//,//,6,1,9,6,0,f=6//1,f//9=,f=6//1. f//9=
j,*,//,3,4,4,12,3,j=3*4,j//4=,j=3*4. j//4=
a,+,*,6,9,1,15,15,a=6+9,a*1=,a=6+9. a*1=
q,//,//,8,8,4,1,0,q=8//8,q//4=,q=8//8. q//4=
t,-,*,3,1,9,2,18,t=3-1,t*9=,t=3-1. t*9=
b,*,//,2,7,8,14,1,b=2*7,b//8=,b=2*7. b//8=
q,*,*,5,5,4,25,100,q=5*5,q*4=,q=5*5. q*4=
k,*,//,6,9,3,54,18,k=6*9,k//3=,k=6*9. k//3=
i,*,+,1,6,5,6,11,i=1*6,i+5=,i=1*6. i+5=
f,*,//,5,7,3,35,11,f=5*7,f//3=,f=5*7. f//3=
y,+,*,7,6,9,13,117,y=7+6,y*9=,y=7+6. y*9=
w,-,-,2,9,8,-7,-15,w=2-9,w-8=,w=2-9. w-8=
j,+,*,8,3,8,11,88,j=8+3,j*8=,j=8+3. j*8=
r,*,//,5,7,6,35,5,r=5*7,r//6=,r=5*7. r//6=
i,-,//,5,2,8,3,0,i=5-2,i//8=,i=5-2. i//8=
t,-,+,4,8,7,-4,3,t=4-8,t+7=,t=4-8. t+7=
o,+,+,8,1,8,9,17,o=8+1,o+8=,o=8+1. o+8=
j,*,//,1,6,6,6,1,j=1*6,j//6=,j=1*6. j//6=
x,*,-,4,1,7,4,-3,x=4*1,x-7=,x=4*1. x-7=
n,-,+,4,8,6,-4,2,n=4-8,n+6=,n=4-8. n+6=
t,+,*,5,3,6,8,48,t=5+3,t*6=,t=5+3. t*6=
z,-,*,5,8,6,-3,-18,z=5-8,z*6=,z=5-8. z*6=
k,*,+,3,9,9,27,36,k=3*9,k+9=,k=3*9. k+9=
u,//,//,1,6,1,0,0,u=1//6,u//1=,u=1//6. u//1=
z,*,-,9,7,9,63,54,z=9*7,z-9=,z=9*7. z-9=
s,+,//,6,4,4,10,2,s=6+4,s//4=,s=6+4. s//4=
x,//,+,7,8,5,0,5,x=7//8,x+5=,x=7//8. x+5=
b,-,+,9,4,6,5,11,b=9-4,b+6=,b=9-4. b+6=
c,+,//,7,5,2,12,6,c=7+5,c//2=,c=7+5. c//2=
j,-,-,4,6,3,-2,-5,j=4-6,j-3=,j=4-6. j-3=
z,+,//,7,8,4,15,3,z=7+8,z//4=,z=7+8. z//4=
o,//,-,1,9,7,0,-7,o=1//9,o-7=,o=1//9. o-7=
v,-,//,6,5,1,1,1,v=6-5,v//1=,v=6-5. v//1=
f,//,+,9,9,1,1,2,f=9//9,f+1=,f=9//9. f+1=
i,//,//,5,1,3,5,1,i=5//1,i//3=,i=5//1. i//3=
k,*,-,1,4,7,4,-3,k=1*4,k-7=,k=1*4. k-7=
a,+,-,8,1,3,9,6,a=8+1,a-3=,a=8+1. a-3=
z,+,-,9,1,6,10,4,z=9+1,z-6=,z=9+1. z-6=
a,//,-,9,9,2,1,-1,a=9//9,a-2=,a=9//9. a-2=
r,*,+,2,7,3,14,17,r=2*7,r+3=,r=2*7. r+3=
y,-,-,8,6,7,2,-5,y=8-6,y-7=,y=8-6. y-7=
i,*,-,9,9,6,81,75,i=9*9,i-6=,i=9*9. i-6=
y,*,+,4,2,5,8,13,y=4*2,y+5=,y=4*2. y+5=
j,-,*,1,5,6,-4,-24,j=1-5,j*6=,j=1-5. j*6=
y,+,*,9,8,4,17,68,y=9+8,y*4=,y=9+8. y*4=
q,+,+,4,7,9,11,20,q=4+7,q+9=,q=4+7. q+9=
n,-,//,3,7,3,-4,-2,n=3-7,n//3=,n=3-7. n//3=
k,+,+,8,7,5,15,20,k=8+7,k+5=,k=8+7. k+5=
j,*,//,6,7,6,42,7,j=6*7,j//6=,j=6*7. j//6=
c,//,+,6,7,2,0,2,c=6//7,c+2=,c=6//7. c+2=
h,-,//,2,7,7,-5,-1,h=2-7,h//7=,h=2-7. h//7=
c,-,+,4,6,9,-2,7,c=4-6,c+9=,c=4-6. c+9=
h,+,-,4,7,3,11,8,h=4+7,h-3=,h=4+7. h-3=
x,+,-,3,6,6,9,3,x=3+6,x-6=,x=3+6. x-6=
n,+,+,3,9,8,12,20,n=3+9,n+8=,n=3+9. n+8=
c,*,//,4,7,9,28,3,c=4*7,c//9=,c=4*7. c//9=
u,-,+,4,4,5,0,5,u=4-4,u+5=,u=4-4. u+5=
v,-,-,3,1,1,2,1,v=3-1,v-1=,v=3-1. v-1=
a,*,*,1,8,1,8,8,a=1*8,a*1=,a=1*8. a*1=
f,-,-,6,8,9,-2,-11,f=6-8,f-9=,f=6-8. f-9=
t,//,+,5,7,1,0,1,t=5//7,t+1=,t=5//7. t+1=
t,-,+,7,9,7,-2,5,t=7-9,t+7=,t=7-9. t+7=
l,-,//,3,9,4,-6,-2,l=3-9,l//4=,l=3-9. l//4=
n,-,-,2,9,8,-7,-15,n=2-9,n-8=,n=2-9. n-8=
e,*,-,8,5,3,40,37,e=8*5,e-3=,e=8*5. e-3=
u,*,*,1,2,4,2,8,u=1*2,u*4=,u=1*2. u*4=
q,+,-,4,8,3,12,9,q=4+8,q-3=,q=4+8. q-3=
n,+,+,2,6,9,8,17,n=2+6,n+9=,n=2+6. n+9=
n,//,*,6,6,9,1,9,n=6//6,n*9=,n=6//6. n*9=
p,*,//,5,1,7,5,0,p=5*1,p//7=,p=5*1. p//7=
f,*,*,7,2,7,14,98,f=7*2,f*7=,f=7*2. f*7=
i,+,*,6,9,6,15,90,i=6+9,i*6=,i=6+9. i*6=
g,-,-,7,3,7,4,-3,g=7-3,g-7=,g=7-3. g-7=
f,+,+,3,5,4,8,12,f=3+5,f+4=,f=3+5. f+4=
d,//,+,5,5,7,1,8,d=5//5,d+7=,d=5//5. d+7=
k,-,//,2,6,5,-4,-1,k=2-6,k//5=,k=2-6. k//5=
c,//,-,2,9,8,0,-8,c=2//9,c-8=,c=2//9. c-8=
u,*,//,4,6,3,24,8,u=4*6,u//3=,u=4*6. u//3=
f,+,//,9,8,4,17,4,f=9+8,f//4=,f=9+8. f//4=
o,*,+,1,6,3,6,9,o=1*6,o+3=,o=1*6. o+3=
n,-,-,3,9,4,-6,-10,n=3-9,n-4=,n=3-9. n-4=
h,-,-,1,5,9,-4,-13,h=1-5,h-9=,h=1-5. h-9=
r,+,//,8,5,9,13,1,r=8+5,r//9=,r=8+5. r//9=
o,*,+,2,8,1,16,17,o=2*8,o+1=,o=2*8. o+1=
l,*,+,5,6,2,30,32,l=5*6,l+2=,l=5*6. l+2=
x,+,*,5,2,5,7,35,x=5+2,x*5=,x=5+2. x*5=
k,-,//,2,9,8,-7,-1,k=2-9,k//8=,k=2-9. k//8=
c,+,//,3,8,1,11,11,c=3+8,c//1=,c=3+8. c//1=
t,*,//,6,7,2,42,21,t=6*7,t//2=,t=6*7. t//2=
