question,intermediate,answer,intermediate_expression,prompt_type,prompt_subtype
"In the birth year of Lee Dongheon, the host leader of the G7 Summit was",1995,Jean Chrétien,The birth year of Lee Dongheon,socrates,socrates-person-year-hostleader
The leader of the host of the G7 Summit in Gustav Lindh's year of birth was,1995,Jean Chrétien,Gustav Lindh,socrates,socrates-person-year-hostleader
The person who was the host leader of the G7 Summit in the birth year of Cynthia Erivo was,1987,Amintore Fanfani,The birth year of Cynthia Erivo,socrates,socrates-person-year-hostleader
The leader of the host of the G7 Summit in Zarine Khan's birth year was,1987,Amintore Fanfani,Zarine Khan,socrates,socrates-person-year-hostleader
The person who was the host leader of the G7 Summit in Ragini Khanna's year of birth was,1987,Amintore Fanfani,Ragini Khanna,socrates,socrates-person-year-hostleader
The person who was the host leader of the G7 Summit in the year Amrapali Dubey was born was,1987,Amintore Fanfani,The year Amrapali Dubey,socrates,socrates-person-year-hostleader
The leader of the host of the G7 Summit in the birth year of Srabanti Chatterjee was,1987,Amintore Fanfani,The birth year of Srabanti Chatterjee,socrates,socrates-person-year-hostleader
The leader of the host of the G7 Summit in Ahron Villena's birth year was,1987,Amintore Fanfani,Ahron Villena,socrates,socrates-person-year-hostleader
The person who was the host leader of the G7 Summit in the year Tim Douwsma was born was,1987,Amintore Fanfani,The year Tim Douwsma,socrates,socrates-person-year-hostleader
The person who was the host leader of the G7 Summit in the birth year of Aoi Teshima was,1987,Amintore Fanfani,The birth year of Aoi Teshima,socrates,socrates-person-year-hostleader
The person who was the host leader of the G7 Summit in the year Stef Aerts was born was,1987,Amintore Fanfani,The year Stef Aerts,socrates,socrates-person-year-hostleader
The leader of the host of the G7 Summit in the birth year of Vance Joy was,1987,Amintore Fanfani,The birth year of Vance Joy,socrates,socrates-person-year-hostleader
The person who was the host leader of the G7 Summit in Josh Thomas's birth year was,1987,Amintore Fanfani,Josh Thomas,socrates,socrates-person-year-hostleader
The leader of the host of the G7 Summit in Hasan Namir's birth year was,1987,Amintore Fanfani,Hasan Namir,socrates,socrates-person-year-hostleader
The leader of the host of the G7 Summit in the year Nour El-Refai was born was,1987,Amintore Fanfani,The year Nour El-Refai,socrates,socrates-person-year-hostleader
The leader of the host of the G7 Summit in Alaa Wardi's year of birth was,1987,Amintore Fanfani,Alaa Wardi,socrates,socrates-person-year-hostleader
The person who was the host leader of the G7 Summit in the birth year of Sirusho was,1987,Amintore Fanfani,The birth year of Sirusho,socrates,socrates-person-year-hostleader
The leader of the host of the G7 Summit in Nur Fathia Abdul Latiff's birth year was,1987,Amintore Fanfani,Nur Fathia Abdul Latiff,socrates,socrates-person-year-hostleader
The person who was the host leader of the G7 Summit in Renate Reinsve's year of birth was,1987,Amintore Fanfani,Renate Reinsve,socrates,socrates-person-year-hostleader
The person who was the host leader of the G7 Summit in the birth year of J.Fla was,1987,Amintore Fanfani,The birth year of J.Fla,socrates,socrates-person-year-hostleader
The person who was the host leader of the G7 Summit in the year Noonie Bao was born was,1987,Amintore Fanfani,The year Noonie Bao,socrates,socrates-person-year-hostleader
The person who was the host leader of the G7 Summit in Molly Egelind's birth year was,1987,Amintore Fanfani,Molly Egelind,socrates,socrates-person-year-hostleader
The leader of the host of the G7 Summit in Theophilus London's birth year was,1987,Amintore Fanfani,Theophilus London,socrates,socrates-person-year-hostleader
"In Anupama Parameswaran's year of birth, the leader of the host of the G7 Summit was",1996,Jacques Chirac,Anupama Parameswaran,socrates,socrates-person-year-hostleader
"In the year Oana Gregory was born, the host leader of the G7 Summit was",1996,Jacques Chirac,The year Oana Gregory,socrates,socrates-person-year-hostleader
"In Sanya Lopez's year of birth, the leader of the host of the G7 Summit was",1996,Jacques Chirac,Sanya Lopez,socrates,socrates-person-year-hostleader
"In CJ Navato's year of birth, the host leader of the G7 Summit was",1996,Jacques Chirac,CJ Navato,socrates,socrates-person-year-hostleader
"In Jonas Dassler's year of birth, the leader of the host of the G7 Summit was",1996,Jacques Chirac,Jonas Dassler,socrates,socrates-person-year-hostleader
"In the birth year of Lin Yun, the host leader of the G7 Summit was",1996,Jacques Chirac,The birth year of Lin Yun,socrates,socrates-person-year-hostleader
"In the year Caesar Wu was born, the leader of the host of the G7 Summit was",1996,Jacques Chirac,The year Caesar Wu,socrates,socrates-person-year-hostleader
"In the year Yoshino Aoyama was born, the host leader of the G7 Summit was",1996,Jacques Chirac,The year Yoshino Aoyama,socrates,socrates-person-year-hostleader
"In Atomu Mizuishi's year of birth, the leader of the host of the G7 Summit was",1996,Jacques Chirac,Atomu Mizuishi,socrates,socrates-person-year-hostleader
"In Lee Hye-bin's birth year, the leader of the host of the G7 Summit was",1996,Jacques Chirac,Lee Hye-bin,socrates,socrates-person-year-hostleader
"In the year Nicole Azzopardi was born, the leader of the host of the G7 Summit was",1996,Jacques Chirac,The year Nicole Azzopardi,socrates,socrates-person-year-hostleader
"In the birth year of Shenseea, the leader of the host of the G7 Summit was",1996,Jacques Chirac,The birth year of Shenseea,socrates,socrates-person-year-hostleader
"In the year Ruby O. Fee was born, the host leader of the G7 Summit was",1996,Jacques Chirac,The year Ruby O. Fee,socrates,socrates-person-year-hostleader
"In Gabriela Richardson's birth year, the host leader of the G7 Summit was",1994,Silvio Berlusconi,Gabriela Richardson,socrates,socrates-person-year-hostleader
"In the birth year of Donal Bisht, the host leader of the G7 Summit was",1994,Silvio Berlusconi,The birth year of Donal Bisht,socrates,socrates-person-year-hostleader
"In the birth year of Vera Blue, the leader of the host of the G7 Summit was",1994,Silvio Berlusconi,The birth year of Vera Blue,socrates,socrates-person-year-hostleader
"In the birth year of Han So-hee, the host leader of the G7 Summit was",1994,Silvio Berlusconi,The birth year of Han So-hee,socrates,socrates-person-year-hostleader
"In the birth year of Lee Sun-bin, the host leader of the G7 Summit was",1994,Silvio Berlusconi,The birth year of Lee Sun-bin,socrates,socrates-person-year-hostleader
"In the birth year of Park Se-wan, the host leader of the G7 Summit was",1994,Silvio Berlusconi,The birth year of Park Se-wan,socrates,socrates-person-year-hostleader
"In the birth year of Sogumm, the host leader of the G7 Summit was",1994,Silvio Berlusconi,The birth year of Sogumm,socrates,socrates-person-year-hostleader
The person who was the host leader of the G7 Summit in Kia Pegg's year of birth was,2000,Yoshirō Mori,Kia Pegg,socrates,socrates-person-year-hostleader
The leader of the host of the G7 Summit in Kaya Stewart's year of birth was,2000,Yoshirō Mori,Kaya Stewart,socrates,socrates-person-year-hostleader
"In Jasmine Thompson's year of birth, the leader of the host of the G7 Summit was",2000,Yoshirō Mori,Jasmine Thompson,socrates,socrates-person-year-hostleader
The person who was the host leader of the G7 Summit in the birth year of Aleyna Tilki was,2000,Yoshirō Mori,The birth year of Aleyna Tilki,socrates,socrates-person-year-hostleader
The leader of the host of the G7 Summit in the year Nicholas Hamilton was born was,2000,Yoshirō Mori,The year Nicholas Hamilton,socrates,socrates-person-year-hostleader
The leader of the host of the G7 Summit in Isac Elliot's birth year was,2000,Yoshirō Mori,Isac Elliot,socrates,socrates-person-year-hostleader
The person who was the host leader of the G7 Summit in the birth year of Na Jaemin was,2000,Yoshirō Mori,The birth year of Na Jaemin,socrates,socrates-person-year-hostleader
"In Kim Hyang-gi's birth year, the host leader of the G7 Summit was",2000,Yoshirō Mori,Kim Hyang-gi,socrates,socrates-person-year-hostleader
The person who was the host leader of the G7 Summit in the year Aaron Craft was born was,1991,John Major,The year Aaron Craft,socrates,socrates-person-year-hostleader
The person who was the host leader of the G7 Summit in the year Quebonafide was born was,1991,John Major,The year Quebonafide,socrates,socrates-person-year-hostleader
The leader of the host of the G7 Summit in the year Kyra Dutt was born was,1991,John Major,The year Kyra Dutt,socrates,socrates-person-year-hostleader
The person who was the host leader of the G7 Summit in the year Pooja Banerjee was born was,1991,John Major,The year Pooja Banerjee,socrates,socrates-person-year-hostleader
"In Alex Florea's year of birth, the leader of the host of the G7 Summit was",1991,John Major,Alex Florea,socrates,socrates-person-year-hostleader
"In the birth year of Anastasia Vinnikova, the leader of the host of the G7 Summit was",1991,John Major,The birth year of Anastasia Vinnikova,socrates,socrates-person-year-hostleader
The leader of the host of the G7 Summit in Lukas Dhont's birth year was,1991,John Major,Lukas Dhont,socrates,socrates-person-year-hostleader
The leader of the host of the G7 Summit in Summer Meng's birth year was,1991,John Major,Summer Meng,socrates,socrates-person-year-hostleader
The leader of the host of the G7 Summit in Ruairi O'Connor's year of birth was,1991,John Major,Ruairi O'Connor,socrates,socrates-person-year-hostleader
The leader of the host of the G7 Summit in Linnea Dale's birth year was,1991,John Major,Linnea Dale,socrates,socrates-person-year-hostleader
The leader of the host of the G7 Summit in the birth year of Jo Bo-ah was,1991,John Major,The birth year of Jo Bo-ah,socrates,socrates-person-year-hostleader
"In Thayer Munford's year of birth, the leader of the host of the G7 Summit was",1999,Gerhard Schröder,Thayer Munford,socrates,socrates-person-year-hostleader
"In the year Mahima Makwana was born, the leader of the host of the G7 Summit was",1999,Gerhard Schröder,The year Mahima Makwana,socrates,socrates-person-year-hostleader
"In Tiffany Espensen's birth year, the leader of the host of the G7 Summit was",1999,Gerhard Schröder,Tiffany Espensen,socrates,socrates-person-year-hostleader
"In Lisandro Cuxi's year of birth, the leader of the host of the G7 Summit was",1999,Gerhard Schröder,Lisandro Cuxi,socrates,socrates-person-year-hostleader
"In the year Kang Yeo-sang was born, the leader of the host of the G7 Summit was",1999,Gerhard Schröder,The year Kang Yeo-sang,socrates,socrates-person-year-hostleader
The person who was the host leader of the G7 Summit in Christopher Briney's birth year was,1998,Tony Blair,Christopher Briney,socrates,socrates-person-year-hostleader
"In Kwity Paye's birth year, the leader of the host of the G7 Summit was",1998,Tony Blair,Kwity Paye,socrates,socrates-person-year-hostleader
The person who was the host leader of the G7 Summit in the birth year of Alontae Taylor was,1998,Tony Blair,The birth year of Alontae Taylor,socrates,socrates-person-year-hostleader
The person who was the host leader of the G7 Summit in Gjon's Tears's birth year was,1998,Tony Blair,Gjon's Tears,socrates,socrates-person-year-hostleader
The leader of the host of the G7 Summit in the birth year of Dhvani Bhanushali was,1998,Tony Blair,The birth year of Dhvani Bhanushali,socrates,socrates-person-year-hostleader
"In Riddhi Sen's birth year, the host leader of the G7 Summit was",1998,Tony Blair,Riddhi Sen,socrates,socrates-person-year-hostleader
The person who was the host leader of the G7 Summit in Paul Salas's year of birth was,1998,Tony Blair,Paul Salas,socrates,socrates-person-year-hostleader
The leader of the host of the G7 Summit in Meng Mei Qi's year of birth was,1998,Tony Blair,Meng Mei Qi,socrates,socrates-person-year-hostleader
"In Zhao Jiamin's birth year, the host leader of the G7 Summit was",1998,Tony Blair,Zhao Jiamin,socrates,socrates-person-year-hostleader
The leader of the host of the G7 Summit in Taishi Nakagawa's birth year was,1998,Tony Blair,Taishi Nakagawa,socrates,socrates-person-year-hostleader
"In the birth year of Anna Ishii, the host leader of the G7 Summit was",1998,Tony Blair,The birth year of Anna Ishii,socrates,socrates-person-year-hostleader
The leader of the host of the G7 Summit in the birth year of Honoka Inoue was,1998,Tony Blair,The birth year of Honoka Inoue,socrates,socrates-person-year-hostleader
"In Wakana Aoi's year of birth, the host leader of the G7 Summit was",1998,Tony Blair,Wakana Aoi,socrates,socrates-person-year-hostleader
"In Marie Iitoyo's year of birth, the host leader of the G7 Summit was",1998,Tony Blair,Marie Iitoyo,socrates,socrates-person-year-hostleader
"In the year Mayu Hotta was born, the host leader of the G7 Summit was",1998,Tony Blair,The year Mayu Hotta,socrates,socrates-person-year-hostleader
"In Gretta Ray's birth year, the host leader of the G7 Summit was",1998,Tony Blair,Gretta Ray,socrates,socrates-person-year-hostleader
"In Aksel Kankaanranta's year of birth, the leader of the host of the G7 Summit was",1998,Tony Blair,Aksel Kankaanranta,socrates,socrates-person-year-hostleader
The person who was the host leader of the G7 Summit in the birth year of Kristina Tonteri-Young was,1998,Tony Blair,The birth year of Kristina Tonteri-Young,socrates,socrates-person-year-hostleader
The person who was the host leader of the G7 Summit in Benedetta Porcaroli's year of birth was,1998,Tony Blair,Benedetta Porcaroli,socrates,socrates-person-year-hostleader
The person who was the host leader of the G7 Summit in Cut Syifa's birth year was,1998,Tony Blair,Cut Syifa,socrates,socrates-person-year-hostleader
The leader of the host of the G7 Summit in the year Suppapong Udomkaewkanjana was born was,1998,Tony Blair,The year Suppapong Udomkaewkanjana,socrates,socrates-person-year-hostleader
The leader of the host of the G7 Summit in the birth year of Lasizwe Dambuza was,1998,Tony Blair,The birth year of Lasizwe Dambuza,socrates,socrates-person-year-hostleader
The person who was the host leader of the G7 Summit in Shin Ye-eun's year of birth was,1998,Tony Blair,Shin Ye-eun,socrates,socrates-person-year-hostleader
The person who was the host leader of the G7 Summit in the birth year of Kim Dong-han was,1998,Tony Blair,The birth year of Kim Dong-han,socrates,socrates-person-year-hostleader
"In the birth year of Ham Sung-min, the host leader of the G7 Summit was",1998,Tony Blair,The birth year of Ham Sung-min,socrates,socrates-person-year-hostleader
The person who was the host leader of the G7 Summit in Lisa Ajax's birth year was,1998,Tony Blair,Lisa Ajax,socrates,socrates-person-year-hostleader
"In the year Anton Hagman was born, the leader of the host of the G7 Summit was",1998,Tony Blair,The year Anton Hagman,socrates,socrates-person-year-hostleader
"In the birth year of Kim Kang-hoon, the host leader of the G7 Summit was",2009,Silvio Berlusconi,The birth year of Kim Kang-hoon,socrates,socrates-person-year-hostleader
"In the year Jay Zeamer, Jr. was born, the Nobel Prize in Physics was awarded to",1918,Max Planck,"The year Jay Zeamer, Jr.",socrates,socrates-person-year-nobelphysics
The winner of the Nobel Prize in Chemistry in Robert A. Elder's year of birth was,1918,Fritz Haber,Robert A. Elder,socrates,socrates-person-year-nobelchem
The winner of the Nobel Prize in Chemistry in Roy A. Harrison's year of birth was,1918,Fritz Haber,Roy A. Harrison,socrates,socrates-person-year-nobelchem
The Nobel Prize in Chemistry in Guy Gibson's birth year was awarded to,1918,Fritz Haber,Guy Gibson,socrates,socrates-person-year-nobelchem
The winner of the Nobel Prize in Chemistry in Debiprasad Chattopadhyaya's year of birth was,1918,Fritz Haber,Debiprasad Chattopadhyaya,socrates,socrates-person-year-nobelchem
"In Margaret Avison's year of birth, the laureate of the Nobel Prize in Chemistry was",1918,Fritz Haber,Margaret Avison,socrates,socrates-person-year-nobelchem
"In Doris Shadbolt's birth year, the laureate of the Nobel Prize in Chemistry was",1918,Fritz Haber,Doris Shadbolt,socrates,socrates-person-year-nobelchem
"In Sheikh Imam's year of birth, the laureate of the Nobel Prize in Chemistry was",1918,Fritz Haber,Sheikh Imam,socrates,socrates-person-year-nobelchem
"In the year Evelyn Ankers was born, the Nobel Prize in Physics was awarded to",1918,Max Planck,The year Evelyn Ankers,socrates,socrates-person-year-nobelphysics
"In Christopher DeMuth's birth year, the Nobel Prize in Literature was awarded to",1946,Hermann Hesse,Christopher DeMuth,socrates,socrates-person-year-nobellit
"In the year Dan Diner was born, the laureate of the Nobel Prize in Physiology or Medicine was",1946,Hermann Joseph Muller,The year Dan Diner,socrates,socrates-person-year-nobelpsymed
The Nobel Prize in Physiology or Medicine in the birth year of Edoardo Bennato was awarded to,1946,Hermann Joseph Muller,The birth year of Edoardo Bennato,socrates,socrates-person-year-nobelpsymed
The winner of the Nobel Prize in Physiology or Medicine in the birth year of Peter Reading was,1946,Hermann Joseph Muller,The birth year of Peter Reading,socrates,socrates-person-year-nobelpsymed
"In Brian Patten's year of birth, the winner of the Masters Tournament was",1946,Herman Keiser,Brian Patten,socrates,socrates-person-year-masterschampion
"In the birth year of Peter Gowan, the laureate of the Nobel Prize in Physics was",1946,Percy Williams Bridgman,The birth year of Peter Gowan,socrates,socrates-person-year-nobelphysics
"In Peter Gowan's birth year, the Nobel Prize in Physiology or Medicine was awarded to",1946,Hermann Joseph Muller,Peter Gowan,socrates,socrates-person-year-nobelpsymed
"In the year Christopher Ellison was born, the laureate of the Nobel Prize in Literature was",1946,Hermann Hesse,The year Christopher Ellison,socrates,socrates-person-year-nobellit
"In the birth year of Christopher Ellison, the Nobel Prize in Physiology or Medicine was awarded to",1946,Hermann Joseph Muller,The birth year of Christopher Ellison,socrates,socrates-person-year-nobelpsymed
"In Bridget St John's year of birth, the Nobel Prize in Physics was awarded to",1946,Percy Williams Bridgman,Bridget St John,socrates,socrates-person-year-nobelphysics
The champion of the Masters in the year Lisa Appignanesi was born was,1946,Herman Keiser,The year Lisa Appignanesi,socrates,socrates-person-year-masterschampion
"In Ibn Warraq's birth year, the laureate of the Nobel Prize in Physiology or Medicine was",1946,Hermann Joseph Muller,Ibn Warraq,socrates,socrates-person-year-nobelpsymed
"In the birth year of Anju Mahendru, the laureate of the Nobel Prize in Literature was",1946,Hermann Hesse,The birth year of Anju Mahendru,socrates,socrates-person-year-nobellit
"In the year Fahmida Riaz was born, the Nobel Prize in Physics was awarded to",1946,Percy Williams Bridgman,The year Fahmida Riaz,socrates,socrates-person-year-nobelphysics
The Nobel Prize in Physiology or Medicine in Ricky Lo's year of birth was awarded to,1946,Hermann Joseph Muller,Ricky Lo,socrates,socrates-person-year-nobelpsymed
The Masters champion in Udo Lindenberg's birth year was,1946,Herman Keiser,Udo Lindenberg,socrates,socrates-person-year-masterschampion
"In the birth year of Marina Lewycka, the Nobel Prize in Physics was awarded to",1946,Percy Williams Bridgman,The birth year of Marina Lewycka,socrates,socrates-person-year-nobelphysics
The champion of the Masters in Stefan Aust's birth year was,1946,Herman Keiser,Stefan Aust,socrates,socrates-person-year-masterschampion
The Masters champion in the year Jaid Barrymore was born was,1946,Herman Keiser,The year Jaid Barrymore,socrates,socrates-person-year-masterschampion
The champion of the Masters in the birth year of Jerry Zaks was,1946,Herman Keiser,The birth year of Jerry Zaks,socrates,socrates-person-year-masterschampion
The golfer who won the Masters in Bolo Yeung's birth year was,1946,Herman Keiser,Bolo Yeung,socrates,socrates-person-year-masterschampion
"In the year Navin Nischol was born, the Nobel Prize in Physics was awarded to",1946,Percy Williams Bridgman,The year Navin Nischol,socrates,socrates-person-year-nobelphysics
The Nobel Prize in Physiology or Medicine in the year Jean-Claude Dreyfus was born was awarded to,1946,Hermann Joseph Muller,The year Jean-Claude Dreyfus,socrates,socrates-person-year-nobelpsymed
"In Jean-Claude Dreyfus's year of birth, the winner of the Masters Tournament was",1946,Herman Keiser,Jean-Claude Dreyfus,socrates,socrates-person-year-masterschampion
"In Herman Brood's birth year, the winner of the Masters Tournament was",1946,Herman Keiser,Herman Brood,socrates,socrates-person-year-masterschampion
"In Adriaan van Dis's year of birth, the Nobel Prize in Physiology or Medicine was awarded to",1946,Hermann Joseph Muller,Adriaan van Dis,socrates,socrates-person-year-nobelpsymed
"In the birth year of Lajos Koltai, the laureate of the Nobel Prize in Physics was",1946,Percy Williams Bridgman,The birth year of Lajos Koltai,socrates,socrates-person-year-nobelphysics
The winner of the Nobel Prize in Physiology or Medicine in the year Michel Collon was born was,1946,Hermann Joseph Muller,The year Michel Collon,socrates,socrates-person-year-nobelpsymed
The Masters champion in Michel Collon's birth year was,1946,Herman Keiser,Michel Collon,socrates,socrates-person-year-masterschampion
"In Jamileh's year of birth, the Nobel Prize in Physiology or Medicine was awarded to",1946,Hermann Joseph Muller,Jamileh,socrates,socrates-person-year-nobelpsymed
"In Colin Petersen's year of birth, the Nobel Prize in Physics was awarded to",1946,Percy Williams Bridgman,Colin Petersen,socrates,socrates-person-year-nobelphysics
"In the birth year of Tristan Rogers, the laureate of the Nobel Prize in Literature was",1946,Hermann Hesse,The birth year of Tristan Rogers,socrates,socrates-person-year-nobellit
The winner of the Nobel Prize in Physics in John Dunsworth's birth year was,1946,Percy Williams Bridgman,John Dunsworth,socrates,socrates-person-year-nobelphysics
The winner of the Nobel Prize in Physiology or Medicine in the year John Dunsworth was born was,1946,Hermann Joseph Muller,The year John Dunsworth,socrates,socrates-person-year-nobelpsymed
"In the year Eric Peterson was born, the laureate of the Nobel Prize in Physiology or Medicine was",1946,Hermann Joseph Muller,The year Eric Peterson,socrates,socrates-person-year-nobelpsymed
"In Cristiano Minellono's year of birth, the laureate of the Nobel Prize in Physics was",1946,Percy Williams Bridgman,Cristiano Minellono,socrates,socrates-person-year-nobelphysics
The winner of the Nobel Prize in Literature in Allan Boesak's birth year was,1946,Hermann Hesse,Allan Boesak,socrates,socrates-person-year-nobellit
The Nobel Prize in Physics in the year Allan Boesak was born was awarded to,1946,Percy Williams Bridgman,The year Allan Boesak,socrates,socrates-person-year-nobelphysics
"In the year Rita Marley was born, the winner of the Masters Tournament was",1946,Herman Keiser,The year Rita Marley,socrates,socrates-person-year-masterschampion
"In the year Gilbert O'Sullivan was born, the winner of the Masters Tournament was",1946,Herman Keiser,The year Gilbert O'Sullivan,socrates,socrates-person-year-masterschampion
"In Thubten Zopa Rinpoche's birth year, the Nobel Prize in Physics was awarded to",1946,Percy Williams Bridgman,Thubten Zopa Rinpoche,socrates,socrates-person-year-nobelphysics
"In the year Sven Nordqvist was born, the laureate of the Nobel Prize in Physics was",1946,Percy Williams Bridgman,The year Sven Nordqvist,socrates,socrates-person-year-nobelphysics
The winner of the Nobel Prize in Physiology or Medicine in the year Krister Henriksson was born was,1946,Hermann Joseph Muller,The year Krister Henriksson,socrates,socrates-person-year-nobelpsymed
The golfer who won the Masters in the year Peter Cohen was born was,1946,Herman Keiser,The year Peter Cohen,socrates,socrates-person-year-masterschampion
The Masters champion in Hamish Wilson's birth year was,1942,Byron Nelson,Hamish Wilson,socrates,socrates-person-year-masterschampion
The Masters champion in Hermann Burger's birth year was,1942,Byron Nelson,Hermann Burger,socrates,socrates-person-year-masterschampion
The Masters champion in the year Ernst Klee was born was,1942,Byron Nelson,The year Ernst Klee,socrates,socrates-person-year-masterschampion
"In Hans Jansen's birth year, the winner of the Masters Tournament was",1942,Byron Nelson,Hans Jansen,socrates,socrates-person-year-masterschampion
The champion of the Masters in the year Madelon Hooykaas was born was,1942,Byron Nelson,The year Madelon Hooykaas,socrates,socrates-person-year-masterschampion
The champion of the Masters in the year Enrique Morente was born was,1942,Byron Nelson,The year Enrique Morente,socrates,socrates-person-year-masterschampion
The Masters champion in the year Pyotr Klimuk was born was,1942,Byron Nelson,The year Pyotr Klimuk,socrates,socrates-person-year-masterschampion
The champion of the Masters in the year Daphne Marlatt was born was,1942,Byron Nelson,The year Daphne Marlatt,socrates,socrates-person-year-masterschampion
"In the birth year of Arto Paasilinna, the winner of the Masters Tournament was",1942,Byron Nelson,The birth year of Arto Paasilinna,socrates,socrates-person-year-masterschampion
The golfer who won the Masters in Vladimir Bukovsky's year of birth was,1942,Byron Nelson,Vladimir Bukovsky,socrates,socrates-person-year-masterschampion
The champion of the Masters in the birth year of Carlos Moore was,1942,Byron Nelson,The birth year of Carlos Moore,socrates,socrates-person-year-masterschampion
"In the year Noah Purifoy was born, the Nobel Prize in Physics was awarded to",1917,Charles Glover Barkla,The year Noah Purifoy,socrates,socrates-person-year-nobelphysics
The winner of the Nobel Prize in Physics in Gajanan Madhav Muktibodh's year of birth was,1917,Charles Glover Barkla,Gajanan Madhav Muktibodh,socrates,socrates-person-year-nobelphysics
The Nobel Prize in Physics in the year Milton Reid was born was awarded to,1917,Charles Glover Barkla,The year Milton Reid,socrates,socrates-person-year-nobelphysics
"In the birth year of Nick Joaquin, the Nobel Prize in Physics was awarded to",1917,Charles Glover Barkla,The birth year of Nick Joaquin,socrates,socrates-person-year-nobelphysics
The Nobel Prize in Physics in Inge Scholl's birth year was awarded to,1917,Charles Glover Barkla,Inge Scholl,socrates,socrates-person-year-nobelphysics
The Nobel Prize in Physics in Joseph Wresinski's birth year was awarded to,1917,Charles Glover Barkla,Joseph Wresinski,socrates,socrates-person-year-nobelphysics
The Nobel Prize in Physics in the birth year of Robert Antelme was awarded to,1917,Charles Glover Barkla,The birth year of Robert Antelme,socrates,socrates-person-year-nobelphysics
The winner of the Nobel Prize in Physics in Fadwa Tuqan's year of birth was,1917,Charles Glover Barkla,Fadwa Tuqan,socrates,socrates-person-year-nobelphysics
"In the year D'Arcy Niland was born, the laureate of the Nobel Prize in Physics was",1917,Charles Glover Barkla,The year D'Arcy Niland,socrates,socrates-person-year-nobelphysics
The Nobel Prize in Physics in the birth year of Phyllis Seckler was awarded to,1917,Charles Glover Barkla,The birth year of Phyllis Seckler,socrates,socrates-person-year-nobelphysics
The Nobel Prize in Physics in Ruth Gilbert's year of birth was awarded to,1917,Charles Glover Barkla,Ruth Gilbert,socrates,socrates-person-year-nobelphysics
The winner of the Nobel Prize in Physics in the birth year of Mohammed al-Ghazali was,1917,Charles Glover Barkla,The birth year of Mohammed al-Ghazali,socrates,socrates-person-year-nobelphysics
"In the birth year of Tove Ditlevsen, the laureate of the Nobel Prize in Physics was",1917,Charles Glover Barkla,The birth year of Tove Ditlevsen,socrates,socrates-person-year-nobelphysics
The Nobel Prize in Physics in Lionel Gossman's year of birth was awarded to,1929,Louis de Broglie,Lionel Gossman,socrates,socrates-person-year-nobelphysics
The winner of the Nobel Prize in Physics in the year Samuel Pisar was born was,1929,Louis de Broglie,The year Samuel Pisar,socrates,socrates-person-year-nobelphysics
The winner of the Nobel Prize in Physics in the year Herman Rosenblat was born was,1929,Louis de Broglie,The year Herman Rosenblat,socrates,socrates-person-year-nobelphysics
"In Usha Kiran's birth year, the Nobel Prize in Physics was awarded to",1929,Louis de Broglie,Usha Kiran,socrates,socrates-person-year-nobelphysics
The winner of the Nobel Prize in Physics in the year Fred Kaan was born was,1929,Louis de Broglie,The year Fred Kaan,socrates,socrates-person-year-nobelphysics
"In Fred Kaan's birth year, the laureate of the Nobel Prize in Literature was",1929,Thomas Mann,Fred Kaan,socrates,socrates-person-year-nobellit
The Nobel Prize in Physics in the birth year of Nader Naderpour was awarded to,1929,Louis de Broglie,The birth year of Nader Naderpour,socrates,socrates-person-year-nobelphysics
"In Yordan Radichkov's birth year, the laureate of the Nobel Prize in Physics was",1929,Louis de Broglie,Yordan Radichkov,socrates,socrates-person-year-nobelphysics
The winner of the Nobel Prize in Physics in Barbara Branden's birth year was,1929,Louis de Broglie,Barbara Branden,socrates,socrates-person-year-nobelphysics
"In Naima Akef's year of birth, the Nobel Prize in Literature was awarded to",1929,Thomas Mann,Naima Akef,socrates,socrates-person-year-nobellit
"In Dan Jacobson's birth year, the laureate of the Nobel Prize in Physics was",1929,Louis de Broglie,Dan Jacobson,socrates,socrates-person-year-nobelphysics
The Nobel Prize in Literature in the birth year of Sean Kenny was awarded to,1929,Thomas Mann,The birth year of Sean Kenny,socrates,socrates-person-year-nobellit
The winner of the Nobel Prize in Literature in Paddy O'Byrne's year of birth was,1929,Thomas Mann,Paddy O'Byrne,socrates,socrates-person-year-nobellit
The Nobel Peace Prize in Elaine Feinstein's year of birth was awarded to,1930,Nathan Söderblom,Elaine Feinstein,socrates,socrates-person-year-nobelpeace
The Nobel Prize in Physiology or Medicine in the birth year of Burton Pike was awarded to,1930,Karl Landsteiner,The birth year of Burton Pike,socrates,socrates-person-year-nobelpsymed
The Nobel Prize in Physiology or Medicine in John H. Lienhard's birth year was awarded to,1930,Karl Landsteiner,John H. Lienhard,socrates,socrates-person-year-nobelpsymed
"In the year Eugene McCabe was born, the Nobel Prize in Chemistry was awarded to",1930,Hans Fischer,The year Eugene McCabe,socrates,socrates-person-year-nobelchem
The winner of the Nobel Peace Prize in the birth year of Michael Mott was,1930,Nathan Söderblom,The birth year of Michael Mott,socrates,socrates-person-year-nobelpeace
"In Michael J. Arlen's birth year, the laureate of the Nobel Peace Prize was",1930,Nathan Söderblom,Michael J. Arlen,socrates,socrates-person-year-nobelpeace
"In the year Michael J. Arlen was born, the laureate of the Nobel Prize in Chemistry was",1930,Hans Fischer,The year Michael J. Arlen,socrates,socrates-person-year-nobelchem
